site,Location,city,province,country,weekstart,measureid,pathogen_name,current_value,min,max,populationcoverage,level_percentile,official_level_score,level_score,trend_pct_change,official_trend_score,trend_score,jump_pct_change,jump_score,history_count,base_reliability,coverage_adjustment,recency_adjustment,reliability_score,weighted_blend,reliability_multiplier,hotspot_score,alert_band,latestTrend,latestLevel,Viral_Activity_Level,grouping
Montreal,Montreal,Montreal,Quebec,Canada,2026-03-01,fluB,Influenza B,9.97389991451088,0.874894948344586,9.97389991451088,1.0,100.0,85.0,92.5,442.3347198067696,75.0,87.5,535.7179191871776,100.0,6,88.0,5.0,0.0,93.0,92.25,0.979,90.31275,Very High,Increasing,High,High,City
Montreal,Montreal,Montreal,Quebec,Canada,2026-03-01,rsv,RSV,12.5216559943786,0.942260504060277,12.5216559943786,1.0,100.0,85.0,92.5,50.06351689963043,75.0,87.5,66.12427982577114,100.0,6,88.0,5.0,0.0,93.0,92.25,0.979,90.31275,Very High,Increasing,High,High,City
Ontario,Ontario,,Ontario,Canada,2026-03-01,fluB,Influenza B,4.1528420403615,0.912749693355463,16.5596369009085,0.247525193789457,100.0,85.0,92.5,68.91765145300838,75.0,87.5,35.423649517234026,100.0,6,88.0,-5.0,0.0,83.0,92.25,0.949,87.54525,Very High,Increasing,High,High,Province
Quebec,Quebec,,Quebec,Canada,2026-03-01,fluB,Influenza B,9.97389991451088,0.874894948344586,9.97389991451088,0.241350306457443,100.0,85.0,92.5,442.3347198067696,75.0,87.5,535.7179191871776,100.0,6,88.0,-5.0,0.0,83.0,92.25,0.949,87.54525,Very High,Increasing,High,High,Province
Quebec,Quebec,,Quebec,Canada,2026-03-01,rsv,RSV,12.5216559943786,0.942260504060277,12.5216559943786,0.241350306457443,100.0,85.0,92.5,50.06351689963043,75.0,87.5,66.12427982577114,100.0,6,88.0,-5.0,0.0,83.0,92.25,0.949,87.54525,Very High,Increasing,High,High,Province
Kingston,Kingston,Kingston,Ontario,Canada,2026-03-01,fluB,Influenza B,6.64798545420922,2.56035359912178,6.64798545420922,0.415141336755104,91.66666666666669,85.0,88.33333333333334,525.1958019737443,75.0,87.5,105.74697152628664,100.0,6,88.0,-5.0,0.0,83.0,90.375,0.949,85.765875,Very High,Increasing,High,High,City
Toronto,Toronto,Toronto,Ontario,Canada,2026-03-01,fluB,Influenza B,4.81502596057686,0.912749693355463,16.5596369009085,0.759404313552031,100.0,85.0,92.5,54.7981301741527,50.0,75.0,371.494224262332,100.0,6,88.0,0.0,0.0,88.0,87.875,0.964,84.7115,Very High,No Change,High,High,City
Kingston Cataraqui Bay,Kingston Cataraqui Bay,Kingston,Ontario,Canada,2026-03-01,fluB,Influenza B,6.64798545420922,2.56035359912178,6.64798545420922,,91.66666666666669,85.0,88.33333333333334,525.1958019737443,75.0,87.5,105.74697152628664,100.0,6,88.0,-10.0,0.0,78.0,90.375,0.934,84.41024999999999,Very High,Increasing,High,High,Site
Toronto Humber,Toronto Humber,Toronto,Ontario,Canada,2026-03-01,fluB,Influenza B,5.7553785823539,0.656587585553325,15.3207462505167,,100.0,85.0,92.5,80.6653466685916,50.0,75.0,117.06933789129128,100.0,6,88.0,-10.0,0.0,78.0,87.875,0.934,82.07525,Very High,No Change,High,High,Site
Montreal South,Montreal South,Montreal,Quebec,Canada,2026-03-01,rsv,RSV,13.9469744268859,0.773726022303233,13.9469744268859,,100.0,85.0,92.5,58.49578065441807,50.0,75.0,79.53468704561706,100.0,6,88.0,-10.0,0.0,78.0,87.875,0.934,82.07525,Very High,No Change,High,High,Site
Montreal South,Montreal South,Montreal,Quebec,Canada,2026-03-01,fluB,Influenza B,18.5143533943658,0.951407096238539,18.5143533943658,,100.0,85.0,92.5,854.6534456039399,50.0,75.0,2279.8336552123365,100.0,6,88.0,-10.0,0.0,78.0,87.875,0.934,82.07525,Very High,No Change,High,High,Site
Montreal North,Montreal North,Montreal,Quebec,Canada,2026-03-01,rsv,RSV,11.0755031902727,1.11325851252127,11.0755031902727,,100.0,85.0,92.5,41.06640401403666,50.0,74.639842408422,51.65128180256456,100.0,6,88.0,-10.0,0.0,78.0,87.7489448429477,0.934,81.95751448331315,Very High,No Change,High,High,Site
Toronto Ashbridges Bay,Toronto Ashbridges Bay,Toronto,Ontario,Canada,2026-03-01,fluB,Influenza B,4.37657254686892,0.731693895184636,16.5041952585046,,100.0,85.0,92.5,38.08765476293858,50.0,72.85259285776314,1575.9873379663527,100.0,6,88.0,-10.0,0.0,78.0,87.1234075002171,0.934,81.37326260520277,Very High,No Change,High,High,Site
Vancouver Iona Island,Vancouver Iona Island,Metro Vancouver,British Columbia,Canada,2026-03-01,fluB,Influenza B,4.47842685302979,0.0087553658126273,4.47842685302979,,100.0,85.0,92.5,244.30597302617485,50.0,75.0,17.538946663291654,85.07789332658331,6,88.0,-10.0,0.0,78.0,84.89057866531667,0.934,79.28780047340577,High,No Change,High,High,Site
Toronto Ashbridges Bay,Toronto Ashbridges Bay,Toronto,Ontario,Canada,2026-03-01,rsv,RSV,8.20162023833027,0.670739340160066,8.20162023833027,,100.0,85.0,92.5,52.57977785645489,50.0,75.0,16.526602262682218,83.05320452536444,6,88.0,-10.0,0.0,78.0,84.48564090507288,0.934,78.90958860533807,High,No Change,High,High,Site
Vancouver Lions Gate,Vancouver Lions Gate,Metro Vancouver,British Columbia,Canada,2025-08-17,covN2,COVID-19 (N2),21.918270450038,13.1926264144841,75.161527432629,,100.0,85.0,92.5,110.64289057631856,50.0,75.0,18.32473013559159,86.64946027118319,6,88.0,-10.0,-8.0,70.0,85.20489205423664,0.91,77.53645176935534,High,No Recent Data,High,NA2,Site
Toronto,Toronto,Toronto,Ontario,Canada,2026-03-01,rsv,RSV,8.64404228372933,0.823842953762826,8.64404228372933,0.759404313552031,83.33333333333333,85.0,84.16666666666666,19.9179589721988,50.0,61.95077538331928,32.323992743117536,100.0,6,88.0,0.0,0.0,88.0,79.55777138416175,0.964,76.69369161433193,High,No Change,High,High,City
Vancouver Lulu Island,Vancouver Lulu Island,Metro Vancouver,British Columbia,Canada,2025-08-17,fluA,Influenza A,3.08059693457905,0.0122287520131786,3.08059693457905,,100.0,55.0,77.5,426.9141069276107,50.0,75.0,53.47140638555381,100.0,6,88.0,-10.0,-8.0,70.0,81.125,0.91,73.82374999999999,High,No Recent Data,Moderate,NA2,Site
Sudbury,Sudbury,Sudbury,Ontario,Canada,2025-08-31,rsv,RSV,1.27822561423689,1.27822561423689,1.27822561423689,,100.0,55.0,77.5,7731.357755119718,50.0,75.0,15462.71551023944,100.0,6,88.0,-10.0,-8.0,70.0,81.125,0.91,73.82374999999999,High,No Recent Data,Moderate,NA2,Site
Toronto Highland Creek,Toronto Highland Creek,Toronto,Ontario,Canada,2025-09-07,rsv,RSV,0.830577963807734,0.729945676413927,6.57760014712374,,100.0,55.0,77.5,41.05777143094337,50.0,74.63466285856602,10012.493769365325,100.0,6,88.0,-10.0,-8.0,70.0,80.99713200049811,0.91,73.70739012045327,High,No Recent Data,Moderate,NA2,Site
Vancouver Lulu Island,Vancouver Lulu Island,Metro Vancouver,British Columbia,Canada,2025-08-17,covN2,COVID-19 (N2),53.2254940901938,15.2925657067021,100.031026031299,,91.66666666666669,85.0,88.33333333333334,3.669543735919756,50.0,52.20172624155185,76.48945940202474,100.0,6,88.0,-10.0,-8.0,70.0,78.02060418454315,0.91,70.99874980793426,High,No Recent Data,High,NA2,Site
Vancouver Iona Island,Vancouver Iona Island,Metro Vancouver,British Columbia,Canada,2026-03-01,rsv,RSV,6.40380369480105,0.159248088626106,6.40380369480105,,91.66666666666669,85.0,88.33333333333334,280.5529030149741,75.0,87.5,-11.38635708467996,27.22728583064008,6,88.0,-10.0,0.0,78.0,75.82045716612802,0.934,70.81630699316356,High,Increasing,High,High,Site
Metro Vancouver,Metro Vancouver,Metro Vancouver,British Columbia,Canada,2026-03-01,fluB,Influenza B,4.2302405252632,0.44815147357195,9.50104253913737,0.829247869230842,91.66666666666669,85.0,88.33333333333334,217.9813827312176,75.0,87.5,-33.261598535457665,0.0,6,88.0,0.0,0.0,88.0,70.375,0.964,67.8415,High,Increasing,High,High,City
Metro Vancouver,Metro Vancouver,Metro Vancouver,British Columbia,Canada,2026-03-01,rsv,RSV,7.18652219991338,1.01931055157213,7.18652219991338,0.829247869230842,83.33333333333333,85.0,84.16666666666666,185.85539283438905,75.0,87.5,-20.66977364612273,8.660452707754537,6,88.0,0.0,0.0,88.0,70.2320905415509,0.964,67.70373528205506,High,Increasing,High,High,City
Ontario,Ontario,,Ontario,Canada,2026-03-01,rsv,RSV,9.32429803230674,0.823842953762826,9.32429803230674,0.247525193789457,75.0,85.0,80.0,8.007618925379193,50.0,54.80457135522752,14.45344018992868,78.90688037985737,6,88.0,-5.0,0.0,83.0,70.96297605030111,0.949,67.34386427173575,High,No Change,High,High,Province
London Greenway North,London Greenway North,London,Ontario,Canada,2026-03-01,fluB,Influenza B,7.39405201781177,1.44074306183562,7.39405201781177,,83.33333333333333,85.0,84.16666666666666,9.271542430375565,50.0,55.56292545822534,11.81920694498461,73.63841388996923,6,88.0,-10.0,0.0,78.0,72.04970668837271,0.934,67.2944260469401,High,No Change,High,High,Site
Toronto Humber,Toronto Humber,Toronto,Ontario,Canada,2026-03-01,rsv,RSV,9.59290644424446,1.20520445339411,9.59290644424446,,83.33333333333333,85.0,84.16666666666666,-18.155885142753373,50.0,39.10646891434798,76.10002808286907,100.0,6,88.0,-10.0,0.0,78.0,71.5622641200218,0.934,66.83915468810035,High,No Change,High,High,Site
British Columbia,British Columbia,,British Columbia,Canada,2026-03-01,fluB,Influenza B,4.2302405252632,0.44815147357195,9.36331531331088,0.438234358399793,91.66666666666669,85.0,88.33333333333334,217.9813827312176,75.0,87.5,-33.261598535457665,0.0,6,88.0,-5.0,0.0,83.0,70.375,0.949,66.78587499999999,High,Increasing,High,High,Province
